Timestep	Average_tilde_q6
1272	0.736062
1273	0.728146
1274	0.734653
1275	0.749317
1276	0.741918
1277	0.736621
1278	0.735844
1279	0.730942
1280	0.739949
1281	0.740725
1282	0.738472
1283	0.747777
1284	0.735921
1285	0.720008
1286	0.730385
1287	0.738091
1288	0.724537
1289	0.732329
1290	0.736082
1291	0.731937
1292	0.742845
1293	0.744280
1294	0.744856
1295	0.741930
1296	0.734485
1297	0.739322
1298	0.729623
1299	0.743169
1300	0.749791
1301	0.736514
1302	0.747440
1303	0.750382
1304	0.737644
1305	0.731393
1306	0.735296
1307	0.731263
1308	0.732577
1309	0.745792
1310	0.751672
1311	0.742981
1312	0.744470
1313	0.739123
1314	0.738747
1315	0.739571
1316	0.740690
1317	0.749297
1318	0.743999
1319	0.750048
1320	0.754517
1321	0.745281
1322	0.736812
1323	0.746197
1324	0.738731
1325	0.739085
1326	0.746623
1327	0.748997
1328	0.746209
1329	0.755668
1330	0.747726
1331	0.740972
1332	0.745899
1333	0.746248
1334	0.754023
1335	0.749952
1336	0.745171
1337	0.755008
1338	0.744438
1339	0.743762
1340	0.743992
1341	0.738487
1342	0.744806
1343	0.743139
1344	0.746490
1345	0.743570
1346	0.747002
1347	0.745574
1348	0.735622
1349	0.750086
1350	0.754011
1351	0.736059
1352	0.745353
1353	0.750509
1354	0.755142
1355	0.750472
1356	0.742963
1357	0.739056
1358	0.746415
1359	0.744110
1360	0.747102
1361	0.758631
1362	0.752025
1363	0.747537
1364	0.732510
1365	0.725045
1366	0.731247
1367	0.733310
1368	0.740237
1369	0.740871
1370	0.747473
1371	0.742139
1372	0.746166
1373	0.743811
1374	0.737431
1375	0.743740
1376	0.744595
1377	0.738836
1378	0.745376
1379	0.746233
1380	0.739591
1381	0.740311
1382	0.739249
1383	0.741217
1384	0.742898
1385	0.744668
1386	0.748650
1387	0.748117
1388	0.735922
1389	0.740638
1390	0.744702
1391	0.744499
1392	0.739863
1393	0.744121
1394	0.742184
1395	0.739838
1396	0.740278
1397	0.744662
1398	0.747747
1399	0.741582
1400	0.746111
1401	0.748917
